id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyJVOo9oWqmbpvxuGh4AaABAg	0	0	2019-01-19 00:42:50	Lorena Rafaela	Onde encontro em português?	UCz-dmCTP-2efyocReXPdKpw	http://www.youtube.com/channel/UCz-dmCTP-2efyocReXPdKpw	0		
UgwCBq6BAVCTcVQ1WSN4AaABAg	0	0	2019-01-09 09:09:35	James Stewart	I&#39;ve said this in other contexts, and comment sections<br />I would like to suggest that homo &quot;sapiens&quot; is factually incorrect and <br />that homo &quot;sentiens&quot; is at least more accurate<br />aware, certainly wisdom cannot be attributed to our species	UCoE_VfI3jNVsVYT_LRyoP6g	http://www.youtube.com/channel/UCoE_VfI3jNVsVYT_LRyoP6g	0		
Ugxd7yCrimuZBXt3g1h4AaABAg	0	0	2018-12-31 14:40:54	enu de guise	one question how do we get to mars	UC3cEa_LaW5plGlomKCfUE3w	http://www.youtube.com/channel/UC3cEa_LaW5plGlomKCfUE3w	0		
UgzkXe6bX7p_EziVIJp4AaABAg	0	0	2018-12-27 19:40:32	Mujahid stran	now its the blacks and Africans<br />turn to be extinct	UCDyexlpi9C70xi7I_-9SzBQ	http://www.youtube.com/channel/UCDyexlpi9C70xi7I_-9SzBQ	0		
UgysFG09joSVT2Y2gg14AaABAg	0	0	2018-12-23 15:17:10	Cátia Sousa	Watching this, I don’t feel proud of the human species. I fell sadness.<br />It’s said on the documentary that the Neanderthals weren’t “humans” and therefore, were animals. According to this reasoning, one asks itself, what will the future egoic human species in thousands of years from now call our “modern” species (if we are still here)..	UCtkrFr6wwqUzL6afwITiPaw	http://www.youtube.com/channel/UCtkrFr6wwqUzL6afwITiPaw	0		
UgzwF30JbqbV8xtzDzd4AaABAg	0	0	2018-12-20 13:06:14	Scott Sullivan	&quot;Africa, 70000 years ago. These people are fully developed modern humans just like us.&quot;<br />Wrong BBC.<br />Yes, the people of 70,0000 years ago and modern blacks are the same.<br />But the last 50,000 years was one of the most rapid periods of evolution for our species.<br />Those that traveled north and adapted to the new conditions evolved rapidly.<br />The difference is huge compared to those that remained in Africa during that period and remained much the same during the last 50,000 years. Blacks are living fossils of that time.<br />DNA sequencing even shows thatr the HSs that left Africa later obtained neanderthal DNA from interbredding. Something that is absent in blacks.<br />Evidence is here in living people. In fact, the two groups can be classified as different species. <br />Blacks and non blacks.	UCyfhhkrm436g3RzPmHIjuRg	http://www.youtube.com/channel/UCyfhhkrm436g3RzPmHIjuRg	0		
Ugw5w-FNdHyp4crKc_B4AaABAg	0	0	2018-12-18 18:41:31	gatobrit	I would certainly pay for a streaming channel with this kind of documentary content. Its something we just don&#39;t get access to in the USA.	UC7SrlJId70q4mGGLXfEl4ng	http://www.youtube.com/channel/UC7SrlJId70q4mGGLXfEl4ng	0		
UgxKze3NVwfWrYM9cKN4AaABAg	0	0	2018-12-18 16:58:21	Abdullah Al Mahmud	Any english subtitles for these videos?	UCq1fJ89-TGyTmESY7anBvlw	http://www.youtube.com/channel/UCq1fJ89-TGyTmESY7anBvlw	0		
Ugw4g2wAA3R6dEdUYuR4AaABAg	0	0	2018-12-17 02:50:29	Koksal Ceylan	Paneb was my kinde of Guy!.I wish we see echother when am dead and in Hereafther!.	UCSTmeT6JSLeelj5oLAen-1A	http://www.youtube.com/channel/UCSTmeT6JSLeelj5oLAen-1A	0		
UgxnAdx-tJUUcUDgT-B4AaABAg	0	0	2018-12-13 22:36:03	Sam Finyan	writing started in egypt ? even 4 months monkey knows it strt in mesopotamia , iraq	UCNcM7Q7elP2pAjAeUA7RD3Q	http://www.youtube.com/channel/UCNcM7Q7elP2pAjAeUA7RD3Q	0		
UgxZvLKVl6hSusxh_zJ4AaABAg	1	0	2018-12-08 08:37:59	Moe Famas	so ridiculously inaccurate..	UCDz_fnAzpXQsbCW2ZGF0a-A	http://www.youtube.com/channel/UCDz_fnAzpXQsbCW2ZGF0a-A	0		
UgxZvLKVl6hSusxh_zJ4AaABAg.8oaB1-W3EN88ojLFreNJ3a		0	2018-12-11 22:00:33	Millennial Pop Culture	Who are you to say inaccurate?? Are you a historian? No you're not so shut up	UC2rTznys8OVLljbTc0fhMtQ	http://www.youtube.com/channel/UC2rTznys8OVLljbTc0fhMtQ	1	UgxZvLKVl6hSusxh_zJ4AaABAg	Moe Famas
Ugz2kMY_idTEC3tQtpF4AaABAg	0	1	2018-12-06 00:00:30	Travis Sears	this game of civ is going pretty well	UCxQcu-9i-y4bx2vBE-TMFPw	http://www.youtube.com/channel/UCxQcu-9i-y4bx2vBE-TMFPw	0		
