id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy4EPa_Dc6r5_Q8ExB4AaABAg	0	0	2019-01-13 21:02:28	xander sommer	Is that Owen Teale I hear?	UCebWqzfe_XLnFImfjC88uaQ	http://www.youtube.com/channel/UCebWqzfe_XLnFImfjC88uaQ	0		
UgwIUaiwvaMAqrbP9CR4AaABAg	0	0	2018-12-26 05:01:18	Yang X	Hello all viewers! I think this documentary is quite enthralling. Though I see some negative complaints about this video. Pls stop these comment and keep your negativity to your self. Your negative attitude is not needed to be proclaimed here. I mean this suggestion in a polite and gentle way. If you do not like the documentary, which I love BTW, then you can click away. I think it would be a lot better to leave positive comments or a soft suggestion about some flaws. Thank you all! ( Attention- Pls no hate on my comment. Again, I mean this comment as a polite, friendly, and kind suggestion. Of course, you may or may not accept my suggestion, as it should be a free country. Again, THANK YOU. 😊😊😊	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
Ugx0PumFQmtNftk2IKp4AaABAg	0	3	2018-12-23 19:19:35	Camelia Gherib	The music is so loud	UC-uNg7CHPRG_d-2LcXFsw4g	http://www.youtube.com/channel/UC-uNg7CHPRG_d-2LcXFsw4g	0		
UgxOu5Ra2EBbhyedwrF4AaABAg	0	0	2018-12-21 01:17:22	avanconia	This is some pretty serious propaganda... It&#39;s interesting how everything the BBC does is anti-western revisionist history...	UCGMiH3mY5yn3yLWt58VceVg	http://www.youtube.com/channel/UCGMiH3mY5yn3yLWt58VceVg	0		
UgwEH8-C6E1IJSE43j94AaABAg	1	0	2018-12-19 10:43:43	LonewolfODV	Whoever wrote this series has apparently never really read world history. There are so many blatantly false statements made in the narrative that it&#39;s beyond ridiculous. <br /><br />It&#39;s entertaining to watch but do not look for historical accuracy in this series.	UCeyCk8xv2ADIcw2RMPrspAQ	http://www.youtube.com/channel/UCeyCk8xv2ADIcw2RMPrspAQ	0		
UgwEH8-C6E1IJSE43j94AaABAg.8p1j9Ttofl98pe4LnYvjzm		0	2019-01-03 17:28:00	Pratik Shrestha	False statements like?	UCa_qMQ2HHN7mGlc0WErUuVQ	http://www.youtube.com/channel/UCa_qMQ2HHN7mGlc0WErUuVQ	1	UgwEH8-C6E1IJSE43j94AaABAg	LonewolfODV
UgwLCHFKDR593WwKEiJ4AaABAg	0	1	2018-12-13 03:15:56	M Samy	Why didn&#39;t you mention the inquisition against muslim in spain? Why didn&#39;t you mention the crusade?	UCw9Ms3qbqO_igrG8jGns3wA	http://www.youtube.com/channel/UCw9Ms3qbqO_igrG8jGns3wA	0		
Ugxv4bWjFw98EDt2O1N4AaABAg	0	10	2018-11-29 11:01:30	Jozz Wheeden	Need subtitles at times with how loud the music gets.	UCNw9ywnv7fZ5cVWsV4xoY4Q	http://www.youtube.com/channel/UCNw9ywnv7fZ5cVWsV4xoY4Q	0		
UgwO13dOUcvLCrw2Qzt4AaABAg	0	0	2018-11-28 10:28:03	Rui Basilio	&quot;Islam collided with Christianity&quot; or vice versa?	UCr6TJ98tZQ--v3BGu7rvvVw	http://www.youtube.com/channel/UCr6TJ98tZQ--v3BGu7rvvVw	0		
UgymuEJIi_1gcczM13x4AaABAg	0	1	2018-11-13 21:17:29	Harry Mathew	I don&#39;t know how any responsible historian can start the crusades with Islam already at the height of its power and influence. Its a disservice to the lessons learned from these events. In doing this they had to completely skip the cause of the dark ages altogether. And all this traveling forwards and backwards through time is confusing. There is no explanation as to why Rome fell and the Byzantine empire survived another thousand years. It reads remarkably close to my western civilization textbook back in college. It went on and on about witch burnings and the slave trade. Nothing about any great achievements of which there are many. <br /><br />We are taught not to revere the forefathers that left us this great society to inherit and that is to our own detriment. While we all reap the benefits of western wealth and culture, very few will actually learn the truth of those beginnings thanks to essential milestones being omitted by modern historians.	UCDTxHMPFBu4cjcaSw3_3pew	http://www.youtube.com/channel/UCDTxHMPFBu4cjcaSw3_3pew	0		
