id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyJ_TAiNbL6qRJOt9F4AaABAg	0	0	2019-01-22 10:58:15	Silver-tongued Stacker	I&#39;ve enjoyed the entire series and, thus far, enjoyed it very much. But you went off the rails with Sanger, only telling half the story. Selective history for sure. Very disappointed.	UC5f9ydN4TRrwmyKnjjr-6rg	http://www.youtube.com/channel/UC5f9ydN4TRrwmyKnjjr-6rg	0		
UgythqGMNgqbSZeckx94AaABAg	0	0	2019-01-20 17:45:19	Corey Greene	<a href="https://www.youtube.com/watch?v=hVWkqUTxYjo&amp;t=50m36s">50:36</a> Can you find Winnie The Poo?	UCv80cVcuGN8FJN4AfKtXCzA	http://www.youtube.com/channel/UCv80cVcuGN8FJN4AfKtXCzA	0		
UgyqxTYWQ4UUpsf5-lh4AaABAg	0	0	2019-01-14 23:56:13	Laughing Out Loud	A great synopsis of Human history - well done	UCZvQI2Lk_2EdoPa0FxAZhpw	http://www.youtube.com/channel/UCZvQI2Lk_2EdoPa0FxAZhpw	0		
UgxwNbfnXJS7xhsAOkZ4AaABAg	0	0	2019-01-08 00:06:14	ThemeMusician	Great documentary series, I have learnt a lot from it. Thank you BBC Documentary.	UCoMQgAuoxnuhtfhSudfwkgg	http://www.youtube.com/channel/UCoMQgAuoxnuhtfhSudfwkgg	0		
UgyF8vb01v9MB6FPTYV4AaABAg	0	0	2018-12-31 04:33:01	Yang X	Great ending	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
Ugz7UwT8z_5hnOFtvEl4AaABAg	0	0	2018-12-31 04:16:14	Yang X	Hello	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
Ugz10BksW_cJdSBQgkJ4AaABAg	0	0	2018-12-31 04:03:22	Yang X	Thank you BBC so much for posting and proclaiming this documentary. This is truly wonderful. Through this, I have learned quite an abundance of powerful historic knowledge. Also, I am very happy to notice that there are a drastic difference between the negative comments in the last seven episodes and this one. This one obviously has less hate. But the other episodes have a lot more hate. I am not trying to criticize anyone but I just think personally that it is not righteous for one to hate someone else that is thoughtfully and kindly providing interesting and powerful knowledge. Please don&#39;t think my suggestion as problematic, rude, and criticized comment. Truthfully, it is not. It is only a gentle, kind, one. I really wonder why schools don&#39;t show these enthralling documentaries in history or socials studies classes. Again, THANK YOU BBC!!!	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
UgwJBv62-OZVPNDfc-d4AaABAg	0	0	2018-12-27 02:14:10	Antonio Nader	Thank you! Gracias!	UCAMG-r-VKjohNRKtMWXP9qg	http://www.youtube.com/channel/UCAMG-r-VKjohNRKtMWXP9qg	0		
UgzTFPSxZgBpM6WXu_N4AaABAg	0	0	2018-12-24 23:34:05	Lykos Spear	this is great entertainment but not entirely factual	UChc7jbYnhc9Dnd_9vZpVi4Q	http://www.youtube.com/channel/UChc7jbYnhc9Dnd_9vZpVi4Q	0		
UgwXVb2EEcerl3AM-vZ4AaABAg	0	0	2018-12-17 22:58:58	MethodMobile	This is absurdly skewed and inaccurate.....the whole series..... pick any topic or person skimmed over, spend 10 minutes researching and you’ll see....	UCsX5JtYHt2yA2w6fMmmI6qQ	http://www.youtube.com/channel/UCsX5JtYHt2yA2w6fMmmI6qQ	0		
Ugy-I4-z5TbS0l1F__d4AaABAg	0	0	2018-11-30 22:59:21	Freddy Li	<a href="https://www.youtube.com/watch?v=hVWkqUTxYjo&amp;t=47m30s">47:30</a> Civilization games in a nutshell.	UCDWuZS8pl9Q-ClLfGDrU-vQ	http://www.youtube.com/channel/UCDWuZS8pl9Q-ClLfGDrU-vQ	0		
Ugz79Scx8WXgqIP5rZB4AaABAg	2	0	2018-11-25 00:56:28	metallurgicarborist	So, Julius Caesar freed the slaves in America and then built the first nuclear bomb, huh?<br />Nice one guys. 🙄<br />The worst BBC series I’ve ever seen! Please try harder. Also, talk with the sound editor for this series and explain that the narrator should be audible.	UCDPp75RtLHolJqYTYnb5hIg	http://www.youtube.com/channel/UCDPp75RtLHolJqYTYnb5hIg	0		
Ugz79Scx8WXgqIP5rZB4AaABAg.8o2ssNjk6zn8pjqyH2bK_4		0	2019-01-05 23:17:46	JB Robertson	metallurgicarborist Did you even watch the program?	UCR0uyLwGb05R1txA8FqZxOw	http://www.youtube.com/channel/UCR0uyLwGb05R1txA8FqZxOw	1	Ugz79Scx8WXgqIP5rZB4AaABAg	metallurgicarborist
Ugz79Scx8WXgqIP5rZB4AaABAg.8o2ssNjk6zn8oRnGY2lQ-6		1	2018-12-04 17:08:29	Geoff Strange	Fuckwit	UC7IWtJh7vODrWbZ4vBh8F5A	http://www.youtube.com/channel/UC7IWtJh7vODrWbZ4vBh8F5A	1	Ugz79Scx8WXgqIP5rZB4AaABAg	metallurgicarborist
UgxLI0jFnKpQsrrJkm94AaABAg	0	0	2018-11-15 22:33:53	michael seely	Awesome, just awesome!	UCSRe5nfL0xJF9Hazgqxn55g	http://www.youtube.com/channel/UCSRe5nfL0xJF9Hazgqxn55g	0		
UgyNuNdjallM25BVkRF4AaABAg	0	2	2018-11-13 15:50:09	Angela Smirnova	Thank you for documentaries, I enjoyed watching. The ending is kind of optimistic. Russia and China enriched by accepting the model of the capitalist economy but these countries became neither democratic nor civilized with respect to human rights. Nowadays they undermine the base of our democracy, freedom of speech, respect to international laws and human rights. There is no end of history. They are back with a desire to impose totalitarian xenophobic rules to the rest of the world.	UCvRQi0fbaGVv3KSd3hiTOig	http://www.youtube.com/channel/UCvRQi0fbaGVv3KSd3hiTOig	0		
UgxLxF86HbwTa8q2b_l4AaABAg	0	1	2018-11-12 00:34:15	Alisa Sokolova	Thank you BBC	UCh-kY4fC6HMCdffC4cK3vdQ	http://www.youtube.com/channel/UCh-kY4fC6HMCdffC4cK3vdQ	0		
UgwDNWzFf230I_Ci4KR4AaABAg	0	7	2018-11-07 15:49:07	Ayanda Zulu	The further we look back, the further we can see forward. I love history	UCuL5vr-9hj6fJibR7l3myQg	http://www.youtube.com/channel/UCuL5vr-9hj6fJibR7l3myQg	0		
UgwHCcbeEWhZr6dL7yx4AaABAg	0	0	2018-11-01 20:57:43	Thaby	All the episodes are really good!	UC6YZD4DQmBN5eaL1izSp6Iw	http://www.youtube.com/channel/UC6YZD4DQmBN5eaL1izSp6Iw	0		
UgzeCr_BWv7Xu9WJDwx4AaABAg	0	2	2018-10-31 08:06:24	ohewouou	It&#39;s just plain lazy and hateful, at this point, to make a history documentary with the line &quot;Columbus discovered America.&quot;	UC8fdeKQ1n5N4V-EUi7jHPaA	http://www.youtube.com/channel/UC8fdeKQ1n5N4V-EUi7jHPaA	0		
Ugwkjk_IaWkhHQLeZG94AaABAg	2	0	2018-10-30 23:24:01	A Shore	What a horrible representation of Hitler. Not only did he not drink alchohol, he sounded like a normal person when he spoke. it was only his speeches that made him seem like an agressive leader, and he wanted it that way.	UCZHDvBJ0WWVl1f0CNTuj_pw	http://www.youtube.com/channel/UCZHDvBJ0WWVl1f0CNTuj_pw	0		
Ugwkjk_IaWkhHQLeZG94AaABAg.8n2LQR1Nt_v8o2tGWZWYen		0	2018-11-25 00:59:54	metallurgicarborist	They took a lot of “artistic” liberties in this series.	UCDPp75RtLHolJqYTYnb5hIg	http://www.youtube.com/channel/UCDPp75RtLHolJqYTYnb5hIg	1	Ugwkjk_IaWkhHQLeZG94AaABAg	A Shore
Ugwkjk_IaWkhHQLeZG94AaABAg.8n2LQR1Nt_v8njwN9Qoxpx		1	2018-11-17 07:02:12	Alfred Rieder	Partially true, but he would drink on very rare occasions. He didn't like it, especially bitter things. He would add sugar to wine for instance.	UCsfKFeB5CrN1jkIUCV6IVwg	http://www.youtube.com/channel/UCsfKFeB5CrN1jkIUCV6IVwg	1	Ugwkjk_IaWkhHQLeZG94AaABAg	A Shore
UgykysmwEbzsZQG7o854AaABAg	0	6	2018-10-21 22:37:16	RedCloudBeechWaveAhh	thank you so much! Education is so wonderful and so important, and I wish that all people will take advantage of the unprecedented availability of material--I say it because the quantitative shift in this took place during my lifetime, so I&#39;m still in awe.<br /><br />...history can make us wise...<br />and journalism can make us aware of things happening in our own time... The terrible world wars happens, and their story is clear and dramatic. the gulf Wars, those in Iraq and Afghanistan are less clear about who is villain and who is hero, but we know, we have enough information to know to some extent who is responsible for what things.<br /><br />We start to look at Saudi Arabia critically, and question our close relationship now that mr. bone saw has revealed himself to be such an intolerant autocrat, but aren&#39;t we now supplying weapons and Logistics and fuel 4 the forces from, and paid for by Saudi Arabia inflicting war on largely civilian Yemen, where tens of thousands hundreds of thousands of civilians are right now dying from bombing campaigns and sick from cholera.<br /><br />it is not as clear and dramatic as an atomic bomb drop, but I am sure that each individual and his or her family suffer quiet enough pain and each one&#39;s death is no easier.<br /><br />Nor is the Washington Post&#39;s<br />journalist death and his family&#39;s suffering any less real or painful than those tens of thousands or hundreds of thousands of yemenis&#39; deaths and suffering. <br /><br />The point of all of this is that we must be aware of the past and we must see the present clearly.<br /><br />The violence competition and brutality that we see throughout world history, underlined in this series, lives on in our own chromosomes and manifests itself in our lives and our country&#39;s foreign policies even at this very moment.	UCuTKBvDKSLzsJB-THPk2LDQ	http://www.youtube.com/channel/UCuTKBvDKSLzsJB-THPk2LDQ	0		
