id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyXQL0bYfwbdVR6uUF4AaABAg	0	0	2019-01-23 09:32:59	Joshua Harrison	that mango was a papaya	UCeKYi4fvJfSVE2O1xn23qhA	http://www.youtube.com/channel/UCeKYi4fvJfSVE2O1xn23qhA	0		
UgwQTcFJJH7xD5-Lb954AaABAg	0	0	2019-01-20 05:54:46	다미최	no mention of mark anthony at all    what the hell is this    incorrect history and a narrator from some awful comprehrensive	UCX_UkjhyTdYLc_5i9yRD-pQ	http://www.youtube.com/channel/UCX_UkjhyTdYLc_5i9yRD-pQ	0		
UgyYcQAMwAxJxCPBVqN4AaABAg	0	0	2019-01-20 05:43:51	다미최	this is a wonderful series    what a shame the narrator speaks so badly	UCX_UkjhyTdYLc_5i9yRD-pQ	http://www.youtube.com/channel/UCX_UkjhyTdYLc_5i9yRD-pQ	0		
Ugyd8wCf93K1u_mGU2d4AaABAg	0	0	2019-01-18 21:49:06	FlankyFrankie	NEEDS TO REMIX THE SOUND SO WE CAN HEAR THE FRICKING NARRATOR!	UCx0V7MktGqbfF9VJPuSlWYQ	http://www.youtube.com/channel/UCx0V7MktGqbfF9VJPuSlWYQ	0		
Ugw2R_VHW3TIzsBMMPl4AaABAg	0	0	2019-01-10 15:05:18	Godtuber Adibu	This series was aired 6-8 years ago. I think it was aired in the National Geographic channel.	UCL9Y8uovZD0e_jm2ouLcS8Q	http://www.youtube.com/channel/UCL9Y8uovZD0e_jm2ouLcS8Q	0		
Ugxb9JpRv2icThwcc1N4AaABAg	0	0	2018-12-25 04:26:43	Yang X	Hello 🙂	UCeq67Byh12uMF3YT4sa-XoQ	http://www.youtube.com/channel/UCeq67Byh12uMF3YT4sa-XoQ	0		
UgwByhkVUgj_mKjLwT14AaABAg	0	0	2018-12-20 14:05:03	Fitzroi	Those idiots called christian martyrs died rightfully and in vain. I have no idea why this nonsense is mentioned in a documentary about history.	UCu63dYzNiXsQRZh1Sw248kw	http://www.youtube.com/channel/UCu63dYzNiXsQRZh1Sw248kw	0		
UgzQSDJOkjE_632zBDB4AaABAg	0	6	2018-12-17 20:34:47	Alec Vail	This would be a great documentary if I could hear the narrator.	UCdZXJI2niKZcNw68tOkkDKQ	http://www.youtube.com/channel/UCdZXJI2niKZcNw68tOkkDKQ	0		
UgzGPoSFzfgJ1GIQcS94AaABAg	1	1	2018-12-03 06:29:53	DeAnna MC	Bad casting for Cleopatra...if you know	UCCbvI_Zf2aDqB0BZUvXOE0A	http://www.youtube.com/channel/UCCbvI_Zf2aDqB0BZUvXOE0A	0		
UgzGPoSFzfgJ1GIQcS94AaABAg.8oO4OOePGB18pCxtAF9hnv		0	2018-12-23 19:24:04	MARCVS AVRELIVS	She was Hellenic (Greek).	UCD0lhTf_XEQTBlNdTJPPdug	http://www.youtube.com/channel/UCD0lhTf_XEQTBlNdTJPPdug	1	UgzGPoSFzfgJ1GIQcS94AaABAg	DeAnna MC
UgzRd-FEAf9gcvN5QoF4AaABAg	0	0	2018-11-28 10:12:58	Rui Basilio	Christianity spread from the very roman imperial decaying power	UCr6TJ98tZQ--v3BGu7rvvVw	http://www.youtube.com/channel/UCr6TJ98tZQ--v3BGu7rvvVw	0		
UgwH9CAXZX5er2kPuW54AaABAg	0	0	2018-11-28 10:03:54	Rui Basilio	when talking about Christianity the doc and BBC get lyrical finally we approach &quot;truth&quot; (ours)	UCr6TJ98tZQ--v3BGu7rvvVw	http://www.youtube.com/channel/UCr6TJ98tZQ--v3BGu7rvvVw	0		
UgyFLsXqE4TbrmnjQ0d4AaABAg	0	3	2018-11-28 09:59:48	Rui Basilio	Jesus is not a historical figure	UCr6TJ98tZQ--v3BGu7rvvVw	http://www.youtube.com/channel/UCr6TJ98tZQ--v3BGu7rvvVw	0		
UgxcicyDcageWn9ZU8Z4AaABAg	0	3	2018-11-23 18:07:25	Jackie Lee	What’s with the loud music? Too horrible.	UCHcyZFn1LtUJEVMQF7fPANA	http://www.youtube.com/channel/UCHcyZFn1LtUJEVMQF7fPANA	0		
UgyB6EUcWfFnIPR1gUp4AaABAg	1	1	2018-11-20 19:27:48	A CK	<a href="https://www.youtube.com/watch?v=Pu6S9L8ekRE&amp;t=5m44s">5:44</a> 毛主席 sneakily inserting Chairman Mao while talking about Shi Huang Di. lol nice BBC	UCb_HhXFwezty4QtJnf0TLew	http://www.youtube.com/channel/UCb_HhXFwezty4QtJnf0TLew	0		
UgyB6EUcWfFnIPR1gUp4AaABAg.8nt-4fjHg3Y8nvWowkcNeZ		0	2018-11-21 19:01:05	Chris Bishop	It's not at 5:44	UCcab-3TK-9t2ecTDr6TVKOA	http://www.youtube.com/channel/UCcab-3TK-9t2ecTDr6TVKOA	1	UgyB6EUcWfFnIPR1gUp4AaABAg	A CK
UgwEu2M6EWtS-aZiffB4AaABAg	2	0	2018-11-12 22:17:40	Harry Mathew	So they claim that &quot;some of the most sophisticated civilizations in history would be built in the name of Islam&quot;. What disturbs me is how they omit all the wonderful achievements of the Arab world before that period. They continued the Greek/Roman works of Hippocrates and Aristotle along with their contribution of our globally used mathematic symbols. They are actually glorifying their downfall. Im scared to watch the next episode and see how they misrepresent the crusades..	UCDTxHMPFBu4cjcaSw3_3pew	http://www.youtube.com/channel/UCDTxHMPFBu4cjcaSw3_3pew	0		
UgwEu2M6EWtS-aZiffB4AaABAg.8nZh9luI-IQ8oUHxDwDN-n		1	2018-12-05 16:23:49	MOHAMMED MUSTAFA	arab world was totally chaotic !	UCgupAzVAdEhFn20QgQhiFiw	http://www.youtube.com/channel/UCgupAzVAdEhFn20QgQhiFiw	1	UgwEu2M6EWtS-aZiffB4AaABAg	Harry Mathew
UgwEu2M6EWtS-aZiffB4AaABAg.8nZh9luI-IQ8oKi7hyet1C		2	2018-12-01 23:08:54	Me Dna	Arabs were pagans fighting for tribal beefs Islam made them rulers of world and all the things that u have mentioned is after Islam	UC9xMcgZ_YDPnz4bt3N574pA	http://www.youtube.com/channel/UC9xMcgZ_YDPnz4bt3N574pA	1	UgwEu2M6EWtS-aZiffB4AaABAg	Harry Mathew
UgzJ1XX6uiGXIIf8A854AaABAg	0	1	2018-11-11 17:21:52	Ali Zone	<a href="https://www.youtube.com/watch?v=Pu6S9L8ekRE&amp;t=45m18s">45:18</a>, Who else felt tht?	UCX6VB-Oyo5tuEcaEr8PpGCA	http://www.youtube.com/channel/UCX6VB-Oyo5tuEcaEr8PpGCA	0		
Ugz6fvXyHG5GFvh6Lzp4AaABAg	0	0	2018-11-09 02:51:40	BMJ Sounds TT	total mess	UCJgt5_IyfzUikmJfsdtPsyA	http://www.youtube.com/channel/UCJgt5_IyfzUikmJfsdtPsyA	0		
UgwMnJsiR37HP84OQPt4AaABAg	0	1	2018-11-05 02:58:51	Kexin Huang	Saw the costume of Qing dynasty in the history document of BC 220.......LOL	UCNnk09s4a_qlvtQGLwyjB9Q	http://www.youtube.com/channel/UCNnk09s4a_qlvtQGLwyjB9Q	0		
UgyZMYIxTcMorPX3tSl4AaABAg	0	5	2018-11-02 03:37:09	Skitarii Soldier	Just had to spin jihad as &quot;protecting Muslims&quot;, eh? It&#39;s really about killing non-Muslims.	UCi7YauKg7EDCMwo5beQVGvg	http://www.youtube.com/channel/UCi7YauKg7EDCMwo5beQVGvg	0		
UgySLQeyTMOFqeUKe9p4AaABAg	0	0	2018-11-02 01:26:08	Skitarii Soldier	Islam teaches equality and rights for all? What a bunch of bullshit! I expeceted that, though. This is the leftarded BBC after all.	UCi7YauKg7EDCMwo5beQVGvg	http://www.youtube.com/channel/UCi7YauKg7EDCMwo5beQVGvg	0		
UgzV7G_Gzr2BJPbS9LV4AaABAg	0	6	2018-10-22 06:22:00	Thomas Bingel	Definitely not recommendable! History like a Powerpoint slide show. History in bullet points!	UCpyqugYXJRlrbaYB7Nl-GFg	http://www.youtube.com/channel/UCpyqugYXJRlrbaYB7Nl-GFg	0		
UgzRwY6SCqb-zuo37wt4AaABAg	0	4	2018-10-06 03:36:45	Jason	amazing!!!!I love BBC!!!! I am Chinese btw	UCM23ELi5xjQKDbLH-OZjEGw	http://www.youtube.com/channel/UCM23ELi5xjQKDbLH-OZjEGw	0		
UgzVaBTJ1n26pgVL-Ep4AaABAg	7	15	2018-09-27 21:04:21	drivertadyuma	Not even a mention of Jesus life and message, but more than 10 minutes dedicated to his followers deaths. I don´t understand this trend to be &quot;politically correct&quot; avoiding to mention Jesus teachings (But with Buddha message they have no problem at all)	UCtc-qzLkDr9CPHxtJ9I-Bcg	http://www.youtube.com/channel/UCtc-qzLkDr9CPHxtJ9I-Bcg	0		
UgzVaBTJ1n26pgVL-Ep4AaABAg.8li7CXGPYkf8pE1EGSgkW1		0	2018-12-24 05:21:16	Help	Y’all bunch of neck beards	UCYRvY34DkxN36_BtvUkXdkA	http://www.youtube.com/channel/UCYRvY34DkxN36_BtvUkXdkA	1	UgzVaBTJ1n26pgVL-Ep4AaABAg	drivertadyuma
UgzVaBTJ1n26pgVL-Ep4AaABAg.8li7CXGPYkf8p8UJhScBOU		0	2018-12-22 01:39:59	Tony Wheeler	Christians are such snowflakes. Grow a pair.	UCq20c5IRxiCwl_hDjVILAqg	http://www.youtube.com/channel/UCq20c5IRxiCwl_hDjVILAqg	1	UgzVaBTJ1n26pgVL-Ep4AaABAg	drivertadyuma
UgzVaBTJ1n26pgVL-Ep4AaABAg.8li7CXGPYkf8p4dw6eL4Wp		0	2018-12-20 13:55:46	Fitzroi	It is called History of the world, not Fairytales of the world	UCu63dYzNiXsQRZh1Sw248kw	http://www.youtube.com/channel/UCu63dYzNiXsQRZh1Sw248kw	1	UgzVaBTJ1n26pgVL-Ep4AaABAg	drivertadyuma
